System,Agent / Use Case,Direction,Agent Interface,Underlying Transport,Data Format,Auth Model,Auth Owner (Novartis),RBAC Considerations,Key Entities / Fields,Volume Estimate,Freshness Requirement,Data Residency,API Maturity,Sample Data Available,Known Constraints,Environment Availability,Product Owner (Novartis),Dependency on Other Systems,Dependency on Novartis Actions,Open Questions,Notes
Salesforce Marketing Cloud (SFMC),UC-4 Knowledge Discovery,Read,TBD,REST API,JSON,OAuth2 (complex — business unit scoped),TBD,Read-only access to campaign engagement data,Campaign ID; send metrics; open/click rates; audience lists; journey performance,1000s–millions,Near-real-time (<30s) or batch,TBD,Stable & documented (SFMC REST API well-documented but complex),TBD,Complex auth (OAuth2 + business unit context); rate limits; multi-timezone product owners,TBD,TBD (multi-timezone),None,Confirm business unit scope; confirm auth provisioning process,Which SFMC business unit(s) are in scope? What is the API rate limit?,Well-documented but complex auth model. Multi-timezone product owners may slow provisioning.
Salesforce Marketing Cloud (SFMC),UC-5 Content Generation,Read,TBD,REST API,JSON,OAuth2 (complex — business unit scoped),TBD,Read-only — campaign performance to inform content,Campaign performance; A/B test results; channel engagement by audience,1000s,On-demand or batch,TBD,Stable & documented,TBD,Same as UC-4,TBD,TBD (multi-timezone),None,Same as UC-4,Same as UC-4 — different data focus (content performance vs broad engagement).,Feeds performance data into content generation for relevance.
Google Analytics 4 (GA4),UC-4 Knowledge Discovery,Read,TBD,REST API (GA4 Data API),JSON,OAuth2 (Google Cloud service account),TBD,Read-only access to website engagement data,Page views; sessions; user engagement; conversion events; audience dimensions,Millions,Batch (hours) — GA4 data has processing lag,TBD,Stable & documented (Google public API),TBD,Data processing lag (24–48h); sampling on large queries; quota limits,TBD,TBD,None,Confirm GA4 property access; confirm service account provisioning,Which GA4 property/properties are in scope? Is BigQuery export available as alternative?,Low technical risk. Public well-documented API. Main constraint is data freshness lag.
Google Analytics 4 (GA4),UC-5 Content Generation,Read,TBD,REST API (GA4 Data API),JSON,OAuth2 (Google Cloud service account),TBD,Read-only — engagement data to inform content strategy,Content performance; page engagement; audience behaviour; channel attribution,Millions,Batch (hours),TBD,Stable & documented,TBD,Same as UC-4,TBD,TBD,None,Same as UC-4,Same access path as UC-4.,Provides channel/content performance context for generation.
Veeva Oncore CRM,UC-4 Knowledge Discovery,Read,TBD,REST API (assumed),JSON (assumed),TBD,TBD,Read-only access to HCP engagement data,HCP interactions; call reports; engagement history; territory data,1000s,On-demand or near-real-time,TBD,TBD — confirm API availability (separate product from Vault),TBD,Separate system from VVPM — confirm API exists and is accessible,TBD,TBD (multi-timezone),None,Confirm API availability; confirm this is not CRM-only (no external API),Is Veeva Oncore CRM API accessible externally? Is it the same as Veeva CRM (Network/Nitro) APIs?,Medium risk. Separate Veeva product — don't assume same API model as Vault.
Veeva Oncore CRM,UC-5 Content Generation,Read,TBD,REST API (assumed),JSON (assumed),TBD,TBD,Read-only — audience/HCP data to inform content,HCP segments; engagement patterns; prescribing behaviour; territory insights,1000s,On-demand,TBD,TBD,TBD,Same as UC-4,TBD,TBD (multi-timezone),None,Same as UC-4,Same as UC-4 — different data focus.,Provides HCP audience context for content generation.
Veeva Oncore CRM,UC-10 Asset Tagging,Read,TBD,REST API (assumed),JSON (assumed),TBD,TBD,Read-only — usage logs for tagging context,Asset usage logs; publication history; channel distribution,1000s,Batch (hours),TBD,TBD,Same as UC-4,TBD,TBD (multi-timezone),None,Same as UC-4,Are usage/publication logs exposed via CRM API or a separate reporting layer?,Read-only for UC-10 — usage logs inform tagging decisions.
ShamanGo / Anthill Activator,UC-4 Knowledge Discovery,Read,TBD,TBD — unknown,TBD,TBD,TBD,Read-only access to modular templates and content blocks,Template ID; module structure; content blocks; constraints; channel mapping,100s,On-demand,TBD,Unknown — referenced as 'future state' in RFP,TBD,System may not be fully deployed; API may not exist yet,TBD,TBD,Platform deployment must be in usable state,Confirm system is live; confirm API exists; confirm integration is feasible,Is ShamanGo/Anthill Activator live and accessible via API? Or is it still in deployment?,HIGH RISK. RFP references this as 'future state'. May not be ready for PoC timeline.
ShamanGo / Anthill Activator,UC-5 Content Generation,Read,TBD,TBD — unknown,TBD,TBD,TBD,Read-only — templates and constraints for draft assembly,Templates; structural rules; required blocks; module slots; channel constraints,100s,On-demand,TBD,Unknown,TBD,Same as UC-4; draft assembly must adhere to template constraints,TBD,TBD,Platform deployment,Same as UC-4,Can templates be retrieved programmatically with their constraint rules?,Critical for UC-5 — templates define what compliant content looks like.
ShamanGo / Anthill Activator,UC-10 Asset Tagging,Read + Write,TBD,TBD — unknown,TBD,TBD,TBD,Write-back of tags — same governance concern as VVPM/Aprimo,Asset ID; metadata fields; content type; therapy area; audience; module usage,100s,Batch (minutes),TBD,Unknown,TBD,Same governance requirements as VVPM/Aprimo for tag write-back; platform readiness unknown,TBD,TBD,Platform deployment; tag write-back permission model,Same as UC-4 plus: Does the system support metadata write-back via API?,Highest-risk write-back target — platform maturity and API existence both unconfirmed.
